subset,id,questionText,clusters
stack,0,How can I avoid rakk attacks?,"[[""If you don't shoot at some rakk flocks, they won't attack""], ['If you really want to dodge a rakk attack, try strafing to the side and jumping'], ['Nothing in Borderlands 2 should scream STEALTH', 'Borderlands 2 should scream, SHOOT'], ['Rakk have attacks that are impossible to avoid'], ['The strategy that works best for me is to run backwards while aiming to the entire flock', 'There might be a better option based on your character class AND skills', 'This is quite class-agnostic', ""Rather than dodging, don't give them the chance to approach you"", 'Some rapid fire weapon (i.e. any good Vladof gun) should dispose of them easily', 'If they get close, switch to a shotgun', 'Trying to use weapons that have higher spreads should allow you to shred through rakk quickly', 'You want a shotgun, SMG, or assault rifle, watch your minimap to see where rakks are coming from, and pour fire downrange', 'Avoid using snipers or rocket launchers', 'Shotguns work great against rakk', 'Any rapid-firing weapon should be sufficient to take rakk down'], ['Equip a spike shield which damages all melee attackers', 'The Rakks will kill themself when they attack you', ""When you have a good shield and they aren't too high-level, their first attack will be their last one""], ['You can always equip a shield that provides elemental damage (such as a Maliwan Spike shield)'], [""If you're in open space, getting a vehicle makes life easier""], ['Later-game rakk flocks seem to be a lot more aggressive'], ['A well-timed melee attack will also take rakk down'], ['Getting against a wall is less effective but still useful'], ['If you can get to somewhere with overhead cover, that will often prevent rakks from getting an attack run in']]"
stack,1,Word for cheating off of another person's test in class,"[['The 2009 CRCT statistics are overwhelming and allow for no conclusion other than widespread cheating in APS', 'Cheating scandals are not rare enough', ""Organized, systematic cheating will continue as long as we're invested in the illusion that the system is working"", ""Governor's Report Details Widespread, Organized Cheating In Atlanta Schools"", 'Dr. John Fremer said there was widespread, organized cheating in APS', 'There is no single word for widespread or organized cheating', 'Organized, systematic cheating is the inevitable result of attaching high stakes to standardized tests'], [""For an entire group of students passing answers to one another in an organized effort, I can not think of anything more apt than 'mass-cheating'"", 'I was looking for something more specific to my scenario', 'To copy something from someone is the best thing I can come up with', ""To copy something from someone does still convey that what's being done is wrong and essentially cheating"", ""You'd probably want a different word such as 'copying' for other cases"", 'Cheat and/or copy is perfectly appropriate', 'A student cheated during math tests by copying from the student beside him', ""It will be difficult to find a single word that covers every situation, other than 'cheating' or a synonym"", ""I could simply use the word 'cheating' here""], ['collusion does carry the proper connotation', 'conspiracy can work', ""I would go for 'conspiring' if the students are knowingly and deliberately working together""], [""Mark is acting without Peter's knowledge/approval""], ['Harvard officials called it the biggest such probe in living memory'], ['The probe involves about 125 students over cheating on a take-home exam for the course, called Introduction to Congress'], ['This qualifies as plagiarism per OED def. 1']]"
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?","[[""If you are going to substitute, you'll need to add more (typically about 3x as much, as the dry is usually more concentrated)"", 'I always use roughly 25% more', 'When substituting you typically need to add much more of the herb', ""One exception to the rule is bay leaves -- you'll still need to add them early, and you'll want to reduce the number"", 'When using fresh in place of dried use slightly more'], [""If you need to supercharge a dish but don't want to change the color, use dried herbs""], [""Getting a piece of dried herb that hasn't had time to hydrate & soften can be really offputting to eat""], [""When you're dealing with winter dishes, dry herbs would've been the norm to have used at that time"", 'I tend to go fresh whenever possible', 'Fresh herbs generally have short storage times', 'My advice is to make the decision on a herb by herb basis.', ""You'll want to add it late in the cooking process, while dry herbs are usually added early"", 'Dried herbs are mostly useful for longer cooking dishes', 'Fresh herbs can be useful for outer seasoning, too', 'Certain herbs are very mild when fresh and do not develop their full smell and flavour until dried', 'There may be a benefit in using dried herbs with some recipes', 'When using fresh in place of dried, add later in the cooking process if possible', 'Fresh herb flavor is more delicate', 'Dry rubs are a great use for dried herbs', 'If you want the flavor to infuse into the dish you will need to use dried herbs', 'Choosing one or the other can depend on how long a dish is cooking', 'Heating herbs can discolor herbs', ""The main advantage to dry herbs is that they're available year round"", 'There is no one rule that holds all when it comes to dry/fresh herbs.'], ['It’s however not common to find freeze dried herbs in regular shops.', 'Freeze drying often maintains flavours of the fresh herb more.'], ['When using dried, crush them first'], ['You get layers of flavor, not just top notes'], ['Dry rubs are one case where dry is specifically necessary'], ['Fresh herbs can be pureed to a paste and used under the skin']]"
stack,3,Is it a bad idea to attach my strap just above the nut?,"[['We players tend to have the straps anchor the pot itself', ""We don't want to expose our necks to stress"", ""It shouldn't harm the guitar"", 'Mine has had no ill effects from having its strap attached to the headstock', 'It is most comfortable to have the left end of the strap attached to just above the nut on the neck', ""I wouldn't recommend that you attach your strap that way for a heavy banjo (especially if it has a long neck)"", ""For 'sideways warp' there are no correction mechanisms"", 'Balance the circle (pot) so that the neck naturally hangs where you need it', 'We never put a strap on the neck near the nut', 'You can indeed attach the strap to the neck or headstock for a very lightweight banjo with a thick neck', 'Altering the strap attachment will change the way the guitar hangs', 'The neck is light enough to be balanced by the pot, itself', ""The heavier the instrument and the slimmer (in the direction across the strings) and longer the neck, the more effect the 'unexpected' forces can deal out"", 'For a guitar attaching your strap that way would not be such a big deal', 'Necks tend to be thin and primarily designed to deal with the forces of the strings', 'Hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'I worry that attaching the strap just above the nut on the neck is putting stress on the neck', 'If the neck naturally hangs low, snug the left strap farther along on the circumference of the pot hooks', 'You choose the hooks to attach to based on the ones that leave your neck at a natural angle when the pot is hanging in front of you']]"
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,"[['Portugal is not really known for their beer', ""Beer doesn't end up shining in any significant way in the region""], ['What is the specialty brew in Portugal?', 'Is there any special beer or beer-like alcohol from Portugal?'], ['Dois Corvos and Oitava Colina are both craft breweries in the area', 'There is a chain restaurant over in Portugal called Cervejeira Lusitana; also known as the Lusitanian Brewery', 'Quimera Brewpub in Rua Prior do Crato, Lisbon is a place to consider', 'There should be a few Cervejeira Lusitana in Lisbon', 'Are there any microbrewery in Lisbon/Tomar in Portugal?', 'The two craft breweries in Lisbon are Dois Corvos and Oitava Colina'], ['Dois Corvos has a tasting room a couple km from the centre'], ['Both make good beer'], ['We bought some American Pale Ale (4,9 %) and some Rye IPA (6,8 %).', 'The American Pale Ale and Rye IPA are very nice.'], ['The microbrewery makes some really good brews in today’s IPA trend.'], ['The shop provides some products to home brewers.'], ['It returns 4 breweries'], ['I would ask around and see if any of the locals know of any particular bars and brews to try']]"
stack,5,Was Rogue One not a Star Wars Episode movie?,"[['Producer Kathleen Kennedy was very supportive of Gareth Edwards’ desire to experiment and to give the film its own unique personality', ""Director Gareth Edwards puts own stamp to Star Wars with 'Rogue One'""], ['The basis for Rogue One is the tale of how the Rebellion acquires the Death Star plans in Episode IV and discusses why there was such a major flaw in the design of the Death Star', 'Rogue One is absolutely a Star Wars movie.', ""Rogue One is not a movie such that it is deemed 'Episode x'."", 'Rogue One adds to the main story (being a side arc), it is not truly part of it', ""Rogue One is not an 'Episode' of the Star Wars saga"", 'The film and the other standalone films are separate and distinct from the Star Wars Saga films', ""Rogue One is 'just' an anthology film"", 'The anthology films give us more information about plot points and characters we have only been able to speculate about and expand the galaxy', ""The difference between these films and the Episodes is that they don't further the plot of the Skywalker family and the story of the Jedi"", 'Rogue One is a stand-alone film set in the Star Wars universe', ""'Episode 3½' would be kind of a stupid title."", 'Rogue One is part of the Star Wars Anthology Series which was planned after the decision to make the Sequel Trilogy', 'If you want to know the main story, Rogue One is not required to see', 'Rogue One simply fills the gap in knowledge of what happened between Episode III and Episode IV, rather than further the plot of the Episodes so far'], ['With the standalone films we’re relaxing some of those rules so that we can try stylistic and tonal experiments that depart a bit from what we’ve seen and are exciting'], ['The Star Wars saga films have a responsibility to maintain a continuity of tone and stylistic device']]"
stack,6,"Is saying ""I have checked futilely"" correct?","[[""calling each individual check 'futile' contradicts your end result"", 'I found a store with what I needed', 'futility is generally an all-encompassing thing', ""searching for something but never finding it, or going out to search for something that doesn't actually exist, or for something that is no longer in the area you're searching is genuinely futile"", ""If you prefer futile, it would sound better as: 'After a futile search through several stores, I finally found a store that had what I needed.'""], [""It's technically correct"", 'The first answer is grammatically correct'], ['Your sentence is OK but awkward.', 'My search was futile or the futility of my search are the more standard phrasings using variants on futile', 'The first answer sounds awkward'], ['After checking a few stores fruitlessly, I found a store with what I needed is an alternative'], [""You can't really make futile a 'ly', because of the chronological implications""]]"
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,"[[""I am concerned that the ATM's bank might charge me fees for withdrawals""], [""my girlfriend, who does have a card from a bank in a different country to mine, does get charged (and told she will), by ATMs that don't charge me""], ['ATM withdrawal fees depend not on the bank, but on the ATM', 'A Banco Security ATM is what you need', 'Banco Estado charges 4000clp at ATMs around Rancagua', 'Banco Security at Apoquindo 3150, Las Condes, Región Metropolitana does not charge an ATM fee', 'Banco Security still does not have a fee', 'Banco Estado does charge the 4000CLP fee', 'Banco Security is still free of fees', 'CorpBanca / Itaú charges 3000clp or 5000clp at ATMs around Rancagua', 'BBVA charges 4100clp at ATMs around Rancagua', 'Banco de Chile / Banco CrediChile charges 3500clp or 5000clp at ATMs around Rancagua', 'BCI charges 4738clp at ATMs around Rancagua', 'Scotiabank charges 3500clp at ATMs around Rancagua', ""Banco Security's ATM in Centro (Agustinas-Moneda) now charges a 5000 CLP fee"", 'Santander / Banefe charges 5000clp at ATMs around Rancagua', 'I was able to withdraw money without the ATM charges today from a Banco Security ATM'], ['The Las Condes location always has a working-ATM during business hours'], ['Wells Fargo card charges 5usd for ATM withdrawals'], ['You can withdraw safely at the ATM inside the agency at Agustinas 621, Santiago (station Santa Lucia - line 1)'], ['Banco BICE charges 2500clp at ATMs around Rancagua'], ['Banco Falabella ATMs could not give me any money with my card'], ['Banco Security in Santiago Centro has only been available occasionally when I visited'], ['BICE does not have a fee'], ['Banco Internacional does not have a fee'], ['Banco Security in Las Condes is probably not different']]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?","[[""'Spread' is better"", ""'Viral' and 'contagious' do not sound right for the campaign""], [""There is nothing negative about the term 'viral' when the context is music, communication or the Internet."", ""A campaign that has become 'viral' on Twitter is a successful campaign."", ""the metaphorical use of 'viral' has become so widespread that it doesn't really carry negative connotations from its literal meaning""], ['Flourish is to develop rapidly and successfully', 'Our campaign is burgeoning', 'Thrive, Flourish, Bloom come to mind', 'Exponential means increasingly rapid', 'Snowball means to increase rapidly in size, intensity, or importance'], ['Memetic means essentially the same thing as viral'], ['The campaign is publicising the idea that', 'The campaign is letting out the idea that'], ['The campaign is spreading like wild fire', 'this idea has already caught on', ""when you're talking about a message or idea, rather than a fad or funny video, you want your idea to catch on""], ['Resonate is often used to describe ideas that people like and spread', 'Resonate means that a sound gets stronger and stronger as it echoes']]"
stack,9,What should I do with a just-baked lasanga?,"[[""You shouldn't put hot lasagna directly into the fridge"", 'Reheat lasagna at 350 for 1/2 hour before serving', 'lasagna can simply be re-heated 30 minutes before serving', 'If it is a dish you cannot put in oven while so cold, leave it 1/2 hour at room and 30 minutes at 325°F (160°C)', 'Keep lasagna above 70C (160F)', 'If lasagna is cool already you could also use cling film for the wrapping', 'How should I re-heat lasanga, if it will be required', 'You can re-heat the lasagna all at once in a low temperature (250°F or so) oven, or cut into individual servings and microwave it', 'It will probably only be eaten 3-4 hours from now', 'First leave the dish at room temperature for 30 minutes so you can then put it in the fridge', 'It would be fine to leave lasagna in the oven until your guest arrive with the oven turned off after baking', 'You should let the lasagna cool for a little while, maybe even let it sit on some ice, then refrigerate', 'You cannot easily cool and reheat a decent sized lasagna in 3 to 4 hours and get down to 4C for any length of time to make it worthwhile', 'What should I do with lasanga in the mean while', 'The correct answer is to wrap lasagna with aluminium foil and stick lasagna in the fridge', 'You need to get the lasagna cold now', 'You could also consider leaving the oven on low, and keeping lasagna hot till serving time', 'Cover the dish tight with foil', 'If you leave the oven door closed it will stay clean and warm for a few hours'], ['I would just leave lasagna on the table', 'The lasagna will be even better 4 hours from now'], ['You could under-cook lasagna slightly to allow for this'], ['I just made a lasanga from a recipe - or something that looks like a lasanga', 'Make sure you have a dish that can take going from cold fridge to hot oven'], ['One hour before eat time reheat the dish in oven at 300 degrees Fahrenheit (150 Celsius) for one hour']]"
