arg_propositions,questionText,comments,summary,id,subset,my_category
"[{""claim"": ""Rakk have attacks that are impossible to avoid"", ""ground"": [""Even if I jump at the last second, Rakk still end up somehow scoring a hit on me""]}]",How can I avoid rakk attacks?,"Rakk, those bat-like things that serve pain from above, seem to have attacks that are impossible to avoid.  Even if I jump at the last second, they still end up somehow scoring a hit on me.  Is there a way to dodge their attacks?","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""Nothing in Borderlands 2 should scream STEALTH"",
    ""ground"": [""You are playing Borderlands 2, not Hitman: Absolution""]
  },
  {
    ""claim"": ""Borderlands 2 should scream, SHOOT"",
    ""ground"": [""You are playing Borderlands 2, not Hitman: Absolution""]
  },
  {
    ""claim"": ""Shotguns work great against rakk"",
    ""ground"": [""the spread of the pellets allows for almost insta-kills at close range""]
  },
  {
    ""claim"": ""Trying to use weapons that have higher spreads should allow you to shred through rakk quickly"",
    ""ground"": []
  },
  {
    ""claim"": ""Avoid using snipers or rocket launchers"",
    ""ground"": [""rakk move fast, and can easily dodge your attacks""]
  },
  {
    ""claim"": ""If you really want to dodge a rakk attack, try strafing to the side and jumping"",
    ""ground"": [""That usually makes them miss""]
  }
]",How can I avoid rakk attacks?,"You are playing Borderlands 2, not Hitman: Absolution, last I checked.  Nothing in Borderlands 2 should scream STEALTH, rather, it should scream, SHOOT!  Shotguns work great against rakk, as the spread of the pellets allows for almost insta-kills at close range.  Trying to use weapons that have higher spreads should allow you to shred through rakk quickly.  Avoid using snipers or rocket launchers; rakk move fast, and can easily dodge your attacks.  That said, if you really want to dodge a rakk attack, try strafing to the side and jumping.  That usually makes them miss.","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""Any rapid-firing weapon should be sufficient to take rakk down"",
    ""ground"": [
      ""I've successfully used shotguns, assault rifles, and pistols (both repeaters and revolvers)""
    ]
  },
  {
    ""claim"": ""A well-timed melee attack will also take rakk down"",
    ""ground"": []
  },
  {
    ""claim"": ""You can always equip a shield that provides elemental damage (such as a Maliwan Spike shield)"",
    ""ground"": [
      ""When the rakk hits you, it takes damage, and usually enough to kill it""
    ]
  }
]",How can I avoid rakk attacks?,"Rakk always attack in  a straight line. Pay attention to the mini-map to see where they are in relation to you, then rotate to face their attack. Any rapid-firing weapon should be sufficient to take them down. I've successfully used shotguns, assault rifles, and pistols (both repeaters and revolvers).  A well-timed melee attack will also take them down.  If none of these work, you can always equip a shield that provides elemental damage (such as a  Maliwan Spike shield ). When the rakk hits you, it takes damage, and usually enough to kill it.","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""Equip a spike shield which damages all melee attackers"",
    ""ground"": []
  },
  {
    ""claim"": ""The Rakks will kill themself when they attack you"",
    ""ground"": [""a spike shield damages all melee attackers""]
  },
  {
    ""claim"": ""Rakks have quite low HP"",
    ""ground"": []
  },
  {
    ""claim"": ""When you have a good shield and they aren't too high-level, their first attack will be their last one"",
    ""ground"": [""Rakks have quite low HP"", ""you have a good shield"", ""they aren't too high-level""]
  }
]",How can I avoid rakk attacks?,"Equip a spike shield which damages all melee attackers, and the Rakks will kill themself when they attack you. Rakks have quite low HP, so when you have a good shield and they aren't too high-level, their first attack will be their last one.","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""If you don't shoot at some rakk flocks, they won't attack"",
    ""ground"": [""Some rakk flocks are just hanging around, especially early on""]
  },
  {
    ""claim"": ""Later-game rakk flocks seem to be a lot more aggressive"",
    ""ground"": []
  },
  {
    ""claim"": ""If you can get to somewhere with overhead cover, that will often prevent rakks from getting an attack run in"",
    ""ground"": []
  },
  {
    ""claim"": ""Getting against a wall is less effective but still useful"",
    ""ground"": [""It prevents the attacks from that side"", ""The rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets""]
  },
  {
    ""claim"": ""If you're in open space, getting a vehicle makes life easier"",
    ""ground"": [""You have infinite ammo and a bigger stack of health""]
  },
  {
    ""claim"": ""You want a shotgun, SMG, or assault rifle, watch your minimap to see where rakks are coming from, and pour fire downrange"",
    ""ground"": [""Rakks attack straight-line and don't have huge health bars"", ""It's fairly easy to drop one""]
  }
]",How can I avoid rakk attacks?,"Presuming you actually want to  avoid  them...   In general order of priority...   Some rakk flocks are just hanging around, especially early on. If you don't shoot at them, they won't attack. (Later-game flocks seem to be a lot more aggressive though.)   And that's roughly the limit of how to not poke the bear, so to speak. Next up is ""how not to get hit while killing them"".   if you can get to somewhere with overhead cover, that will often prevent them from getting an attack run in.  Less effective but still useful is to get against a wall - not only does it prevent the attacks from that side, the rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets.  If you're in open space, getting a vehicle makes life easier (both because you have infinite ammo and a bigger stack of health). I'd recommend the machine gun turret.   In all those cases (and the worst-case ""stuck in the open with no vehicle""), you want a shotgun, SMG, or assault rifle, watch your minimap to see where they're coming from, and pour fire downrange. Rakks attack straight-line and don't have huge health bars, so it's fairly easy to drop one.","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""The strategy that works best for me is to run backwards while aiming to the entire flock"",
    ""ground"": [
      ""They tend to fly in a line so you'll have a good angle to shoot one after another as they fall""
    ]
  },
  {
    ""claim"": ""Some rapid fire weapon (i.e. any good Vladof gun) should dispose of them easily"",
    ""ground"": []
  },
  {
    ""claim"": ""If they get close, switch to a shotgun"",
    ""ground"": []
  },
  {
    ""claim"": ""Rather than dodging, don't give them the chance to approach you"",
    ""ground"": []
  },
  {
    ""claim"": ""This is quite class-agnostic"",
    ""ground"": []
  },
  {
    ""claim"": ""There might be a better option based on your character class AND skills"",
    ""ground"": []
  }
]",How can I avoid rakk attacks?,"The strategy that works best for me is to run backwards while aiming to the entire flock. They tend to fly in a line so you'll have a good angle to shoot one after another as they fall.   Some rapid fire weapon (i.e. any good Vladof gun) should dispose of them easily. If they get close, switch to a shotgun. Rather than dodging, don't give them the chance to approach you.  This is quite class-agnostic. There might be a better option based on your character class AND skills.","Commentators agree that the Rakk are predictable and can be taken on pretty easily. Most commentators advise using a rapid-fire weapon or one with a good spread, such as a shotgun. A few commentators suggest using a shield, especially one that damages the attacker, causing them to kill themselves. Some use sniper rifles. One commentator says to avoid disturbing them in general.",0,stack,1
"[
  {
    ""claim"": ""I could simply use the word 'cheating' here"",
    ""ground"": [""cheating means using another person's answers on a test""]
  },
  {
    ""claim"": ""I was looking for something more specific to my scenario"",
    ""ground"": [""the students are definitely 'cooperating' in a sense"", ""cooperating doesn't really convey the feeling that they are doing something wrong/forbidden""]
  }
]",Word for cheating off of another person's test in class,"I'm looking for a word that means you were cheating on a test by using another person's answers with their approval/cooperation. This also might be between two people, or an entire group of students could be passing answers to one another in a more organized effort. I could simply use the word ""cheating"" here, but I was looking for something more specific to my scenario. The students are definitely ""cooperating"" in a sense, but that doesn't really convey the feeling that they are doing something wrong/forbidden.","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[{""claim"": ""Mark is acting without Peter's knowledge/approval"", ""ground"": [""Mark cribbed his answers from Peter"", ""Mark was cribbing Peter's answers"", ""cribbing (informal) - copy (another person's work) illicitly or without acknowledgment""]}]",Word for cheating off of another person's test in class,"Given the Holiday Season, I would throw in:   cribbing   (informal) - copy (another person's work) illicitly or without  acknowledgment.   For example,  Mark cribbed his answers from Peter; Mark was cribbing Peter's answers.  I think there's implicitly the idea that Mark is acting without Peter's knowledge/approval.","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[
  {
    ""claim"": ""There is no single word for widespread or organized cheating"",
    ""ground"": [""if there were, I think it would have appeared in the press by now""]
  },
  {
    ""claim"": ""collusion does carry the proper connotation"",
    ""ground"": [""secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL""]
  },
  {
    ""claim"": ""conspiracy can work"",
    ""ground"": [""a secret plan by a group to do something unlawful or harmful""]
  },
  {
    ""claim"": ""Cheating scandals are not rare enough"",
    ""ground"": []
  },
  {
    ""claim"": ""The 2009 CRCT statistics are overwhelming and allow for no conclusion other than widespread cheating in APS"",
    ""ground"": []
  },
  {
    ""claim"": ""Dr. John Fremer said there was widespread, organized cheating in APS"",
    ""ground"": [""Dr. John Fremer wrote an op-ed article for the AJC""]
  },
  {
    ""claim"": ""Governor's Report Details Widespread, Organized Cheating In Atlanta Schools"",
    ""ground"": []
  },
  {
    ""claim"": ""Organized, systematic cheating is the inevitable result of attaching high stakes to standardized tests"",
    ""ground"": []
  },
  {
    ""claim"": ""Organized, systematic cheating will continue as long as we're invested in the illusion that the system is working"",
    ""ground"": []
  },
  {
    ""claim"": ""The probe involves about 125 students over cheating on a take-home exam for the course, called Introduction to Congress"",
    ""ground"": []
  },
  {
    ""claim"": ""Harvard officials called it the biggest such probe in living memory"",
    ""ground"": []
  }
]",Word for cheating off of another person's test in class,"There is no single word for widespread or organized cheating; if there were, I think it would have appeared in the press by now.  collusion  does carry the proper connotation:   secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL   Likewise  conspiracy  (a secret plan by a group to do something unlawful or harmful) can work.  Cheating scandals are not rare enough;    The 2009 CRCT statistics are overwhelming and allow for no conclusion other than widespread cheating in APS. The BRC expert, Dr. John Fremer, wrote an op-ed article for the AJC in which he said there was widespread, organized cheating in APS. -WSJ  Governor's Report Details Widespread, Organized Cheating In Atlanta Schools -NPR  Organized, systematic cheating is the inevitable result of attaching high stakes to standardized tests, and it will continue as long as we're invested in the illusion that the system is working. - Huff Post  The probe involves about 125 students over cheating on a take-home exam for the course, called Introduction to Congress. Harvard officials called it the biggest such probe in living memory. - Bloomberg.com","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[
  {
    ""claim"": ""I would go for 'conspiring' if the students are knowingly and deliberately working together"",
    ""ground"": [""there are a lot of students"", ""the cheating is elaborate""]
  },
  {
    ""claim"": ""You'd probably want a different word such as 'copying' for other cases"",
    ""ground"": []
  },
  {
    ""claim"": ""It will be difficult to find a single word that covers every situation, other than 'cheating' or a synonym"",
    ""ground"": []
  }
]",Word for cheating off of another person's test in class,"If the students  are  knowingly and deliberately working together, I'd go for ""conspiring,"" especially if there are a lot of them and the cheating is elaborate.  For other cases, you'd probably want a different word such as ""copying.""  I'm afraid it will be difficult to find a single word that covers every situation, other than ""cheating"" or a synonym.","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
