claim_ground_kps,subset,my_category,id,query,cluster_id,claim_cluster,ground,ground_clusters,arg_input
"{'claim': ""Don't provoke rakk flocks"", 'ground': ['Some rakk flocks are passive and non-aggressive, especially early in the game']}",stack,1,0,How can I avoid rakk attacks?,0,"[""If you don't shoot at some rakk flocks, they won't attack""]","[['Some rakk flocks are just hanging around, especially early on']]","[['Some rakk flocks are just hanging around, especially early on']]","{'claim': [""If you don't shoot at some rakk flocks, they won't attack""], 'ground': [['Some rakk flocks are just hanging around, especially early on']]}"
"{'claim': 'Strafe and jump to dodge rakks', 'ground': ['Strafing and jumping usually causes rakks to miss their attacks']}",stack,1,0,How can I avoid rakk attacks?,1,"['If you really want to dodge a rakk attack, try strafing to the side and jumping']",[['That usually makes them miss']],[['That usually makes them miss']],"{'claim': ['If you really want to dodge a rakk attack, try strafing to the side and jumping'], 'ground': [['That usually makes them miss']]}"
"{'claim': 'Borderlands 2 is about action, not stealth', 'ground': ['Borderlands 2 focuses on shooting, not stealth gameplay']}",stack,1,0,How can I avoid rakk attacks?,2,"['Nothing in Borderlands 2 should scream STEALTH', 'Borderlands 2 should scream, SHOOT']","[['You are playing Borderlands 2, not Hitman: Absolution'], ['You are playing Borderlands 2, not Hitman: Absolution']]","[['You are playing Borderlands 2, not Hitman: Absolution']]","{'claim': ['Nothing in Borderlands 2 should scream STEALTH', 'Borderlands 2 should scream, SHOOT'], 'ground': [['You are playing Borderlands 2, not Hitman: Absolution']]}"
"{'claim': 'Rakk attacks are unavoidable', 'ground': ['Jumping does not prevent Rakk from hitting, making avoidance feel impossible']}",stack,1,0,How can I avoid rakk attacks?,3,['Rakk have attacks that are impossible to avoid'],"[['Even if I jump at the last second, Rakk still end up somehow scoring a hit on me']]","[['Even if I jump at the last second, Rakk still end up somehow scoring a hit on me']]","{'claim': ['Rakk have attacks that are impossible to avoid'], 'ground': [['Even if I jump at the last second, Rakk still end up somehow scoring a hit on me']]}"
"{
  'claim': 'Use a spike shield for defense',
  'ground': [
    'Spike shields damage Rakks, especially if they are low-level and have low HP',
    'Having a strong shield ensures Rakks are killed quickly'
  ]
}",stack,1,0,How can I avoid rakk attacks?,5,"['Equip a spike shield which damages all melee attackers', 'The Rakks will kill themself when they attack you', ""When you have a good shield and they aren't too high-level, their first attack will be their last one""]","[[], ['a spike shield damages all melee attackers'], ['Rakks have quite low HP', 'you have a good shield', ""they aren't too high-level""]]","[[""they aren't too high-level"", 'a spike shield damages all melee attackers', 'Rakks have quite low HP'], ['you have a good shield']]","{'claim': ['Equip a spike shield which damages all melee attackers', 'The Rakks will kill themself when they attack you', ""When you have a good shield and they aren't too high-level, their first attack will be their last one""], 'ground': [[""they aren't too high-level"", 'a spike shield damages all melee attackers', 'Rakks have quite low HP'], ['you have a good shield']]}"
"{'claim': 'Use elemental damage shields', 'ground': ['Elemental shields damage and often kill rakks on contact, preventing attacks.']}",stack,1,0,How can I avoid rakk attacks?,6,['You can always equip a shield that provides elemental damage (such as a Maliwan Spike shield)'],"[['When the rakk hits you, it takes damage, and usually enough to kill it']]","[['When the rakk hits you, it takes damage, and usually enough to kill it']]","{'claim': ['You can always equip a shield that provides elemental damage (such as a Maliwan Spike shield)'], 'ground': [['When the rakk hits you, it takes damage, and usually enough to kill it']]}"
"{'claim': 'Use vehicles for safety', 'ground': ['Vehicles provide infinite ammo and more health, making survival easier']}",stack,1,0,How can I avoid rakk attacks?,7,"[""If you're in open space, getting a vehicle makes life easier""]",[['You have infinite ammo and a bigger stack of health']],[['You have infinite ammo and a bigger stack of health']],"{'claim': [""If you're in open space, getting a vehicle makes life easier""], 'ground': [['You have infinite ammo and a bigger stack of health']]}"
"{'claim': 'Rakk become more aggressive later', 'ground': ['Rakk attacks intensify as the game progresses, making them harder to avoid.']}",stack,1,0,How can I avoid rakk attacks?,8,['Later-game rakk flocks seem to be a lot more aggressive'],[[]],[[]],"{'claim': ['Later-game rakk flocks seem to be a lot more aggressive'], 'ground': [[]]}"
"{'claim': 'Use melee attacks on rakk', 'ground': ['Melee attacks are effective and can defeat rakk quickly']}",stack,1,0,How can I avoid rakk attacks?,9,['A well-timed melee attack will also take rakk down'],[[]],[[]],"{'claim': ['A well-timed melee attack will also take rakk down'], 'ground': [[]]}"
"{'claim': 'Wall positioning helps against rakks', 'ground': ['Walls block attacks from one side', 'Rakks get stuck on walls, making them easier to kill']}",stack,1,0,How can I avoid rakk attacks?,10,['Getting against a wall is less effective but still useful'],"[['It prevents the attacks from that side', 'The rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets']]","[['It prevents the attacks from that side', 'The rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets']]","{'claim': ['Getting against a wall is less effective but still useful'], 'ground': [['It prevents the attacks from that side', 'The rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets']]}"
"{'claim': 'Use overhead cover', 'ground': ['Overhead cover effectively blocks rakk attack runs and keeps you safe.']}",stack,1,0,How can I avoid rakk attacks?,11,"['If you can get to somewhere with overhead cover, that will often prevent rakks from getting an attack run in']",[[]],[[]],"{'claim': ['If you can get to somewhere with overhead cover, that will often prevent rakks from getting an attack run in'], 'ground': [[]]}"
"{
  'claim': 'No single word for organized cheating',
  'ground': [
    'Expert Dr. John Fremer publicly discussed widespread, organized cheating in APS, highlighting its seriousness.',
    'The absence of a specific term in media coverage suggests no established word exists for this concept.'
  ]
}",stack,1,1,Word for cheating off of another person's test in class,0,"['The 2009 CRCT statistics are overwhelming and allow for no conclusion other than widespread cheating in APS', 'Cheating scandals are not rare enough', ""Organized, systematic cheating will continue as long as we're invested in the illusion that the system is working"", ""Governor's Report Details Widespread, Organized Cheating In Atlanta Schools"", 'Dr. John Fremer said there was widespread, organized cheating in APS', 'There is no single word for widespread or organized cheating', 'Organized, systematic cheating is the inevitable result of attaching high stakes to standardized tests']","[[], [], [], [], ['Dr. John Fremer wrote an op-ed article for the AJC'], ['if there were, I think it would have appeared in the press by now'], []]","[['Dr. John Fremer wrote an op-ed article for the AJC'], ['if there were, I think it would have appeared in the press by now']]","{'claim': ['The 2009 CRCT statistics are overwhelming and allow for no conclusion other than widespread cheating in APS', 'Cheating scandals are not rare enough', ""Organized, systematic cheating will continue as long as we're invested in the illusion that the system is working"", ""Governor's Report Details Widespread, Organized Cheating In Atlanta Schools"", 'Dr. John Fremer said there was widespread, organized cheating in APS', 'There is no single word for widespread or organized cheating', 'Organized, systematic cheating is the inevitable result of attaching high stakes to standardized tests'], 'ground': [['Dr. John Fremer wrote an op-ed article for the AJC'], ['if there were, I think it would have appeared in the press by now']]}"
